document_uid,mentions
DOC_b6ebfdb694a34f69349a,2.0
DOC_2b7c4cbd9d1c961efb97,5.0
DOC_836004efd21fdf33fcad,3.0
DOC_c11e0abce59da8db892d,0.0
DOC_0ac1e014c2ce66884dc6,3.0
DOC_679b042ac123bdae5609,2.0
DOC_ca175ded1ae5c600e8d9,1.0
DOC_d087e37dae5c9cd505fa,0.0
DOC_5e9df3c42cd1216c640a,4.0
DOC_2add56b07fc435d6896e,4.0
DOC_bff25cb8ad0b3f77efff,4.0
DOC_076077bdf36df961c127,3.0
DOC_ad3ebd9325af6b72156f,2.0
DOC_10083f2d93d0e357dd99,4.0
DOC_247eee64c2d193b3a536,4.0
DOC_a7bd985e9976adcbfa60,4.0
DOC_461a0cf92b68de1b222c,4.0
DOC_2e3725e746deb5b0a4cd,4.0
DOC_4331fa58ef0f3632be72,3.0
DOC_4786204499c762c40e15,4.0
DOC_d7877404b721fd51b40b,8.0
DOC_09ede1e93aa8bb8d0b15,2.0
DOC_e1e06e0937871956ca31,3.0
DOC_3d563502c193025c9abb,2.0
DOC_985ef83287f386ce7ece,0.0
DOC_ca84e257971be51c190c,2.0
DOC_6bfa21ea0838b20f24fb,5.0
DOC_918a3bf651c27190141d,1.0
DOC_d9d553cb244d9ca55ceb,5.0
DOC_53109460ea41a6c87a22,2.0
DOC_382600004ef9cd1de42a,6.0
DOC_72d582881f2f931ae730,3.0
DOC_3a67a01c39063523d326,3.0
DOC_ac73f8b0f60e7a38bb70,2.0
DOC_4329f9c9cc1258c89a11,0.0
DOC_5dfbeb802671741c821f,0.0
DOC_6179247f7d5b97ba4a24,0.0
DOC_bbfc9d115c2ea699040a,5.0
DOC_d58d5ac985460ed34b9b,3.0
DOC_bd2fa627e750736b3c3d,7.0
DOC_6fe6a15599282e4ab140,4.0
DOC_d106bd0785e610abd615,2.0
DOC_c3054600ccee7168d43c,6.0
DOC_df96118a407c501b835e,0.0
DOC_dbc3b57a3b756c2ecfa0,2.0
DOC_7727e991439c8a8b9415,5.0
DOC_5c40fb774649b589f47a,2.0
DOC_8a721923c9dbe12bcc3f,0.0
DOC_b51e613a97d70e543d75,4.0
DOC_33b053af56d10a2a1977,5.0
DOC_b77d75e4596d3e6122f3,4.0
DOC_d8a506f499861945e816,3.0
DOC_de369e54ca172415871a,3.0
DOC_46908fd27c296d7adb08,5.0
DOC_94673c8bee0bf26302b6,3.0
DOC_9f33cfd17e283cefa869,0.0
DOC_0065157b282cb455ab47,4.0
DOC_4e41895226105d4d4773,4.0
DOC_2ba26d5089ba5fec100d,2.0
DOC_144c247601cbe21ed445,8.0
DOC_732a6ac87ea002850b91,2.0
DOC_43959c5f4b22e8e6b714,5.0
DOC_34c581ac590df427d746,2.0
DOC_788f73cf09de6b4f1514,4.0
DOC_f79e53ac7816fed630f7,6.0
DOC_bcfbdf1e7e288109262a,3.0
DOC_eeb712eb8df4ffa46a23,2.0
DOC_a9056e542b5d4b675df4,5.0
DOC_46c448899bd8a282ce8d,3.0
DOC_6f29aa9f84b7483ba828,5.0
DOC_e8532520057fc449fc6d,3.0
DOC_f6ae97c7c745da7f3e0c,0.0
DOC_855b6a00598e0f70ec3c,5.0
DOC_0079d200c4b9cae86eba,1.0
DOC_24a48b42db66eba34c3e,3.0
DOC_a5d5f804deec026c99a0,3.0
DOC_1644ab6123c4b943d7e0,0.0
